group_name,version,n_domains,auc,auc_ci_lower,auc_ci_upper,pr_auc,brier,logloss,sens_50,spec_50,youden_threshold,youden_sens,youden_spec
depressive_core,presence,7,0.6755931407094198,0.5722701276386843,0.7750287253380037,0.5679558073910815,0.2074956149588393,0.6006821216328992,0.7674418604651163,0.5959595959595959,0.47304838682729117,0.7906976744186046,0.5959595959595959
depressive_core,count,7,0.7392529950669484,0.6442873678784389,0.8281558897066871,0.5910599276648631,0.19564962807067093,0.580479986877999,0.5581395348837209,0.7878787878787878,0.42746382650127845,0.7209302325581395,0.6868686868686869
phq8_like,presence,7,0.7408973455485084,0.6349501131679781,0.8365434871975569,0.5636659086238012,0.1920000932526602,0.5754806479065984,0.7209302325581395,0.7070707070707071,0.7217082878467262,0.627906976744186,0.8787878787878788
phq8_like,count,7,0.7768381489311722,0.6818402291472143,0.8660217312731543,0.6390896504945489,0.17899257817316408,0.5553114229905675,0.6744186046511628,0.797979797979798,0.6064984101422793,0.6511627906976745,0.8787878787878788
mood_cognitive,presence,4,0.5219638242894056,0.4132013103908484,0.6286947165229726,0.30429585126729397,0.24460264633072334,0.6828511948658211,0.7441860465116279,0.46464646464646464,0.45393301814894293,0.7906976744186046,0.46464646464646464
mood_cognitive,count,4,0.6316654921306084,0.5184562969924813,0.7371478129713424,0.5004038223348004,0.2243566250746093,0.6396854014504418,0.4883720930232558,0.696969696969697,0.43052750849390825,0.7441860465116279,0.5151515151515151
somatic_behavioral,presence,3,0.6560958421423538,0.5520403543474031,0.7531198752554061,0.4388597199634449,0.1951133686946789,0.5812603325359927,0.7674418604651163,0.696969696969697,0.6831804540535765,0.7674418604651163,0.7070707070707071
somatic_behavioral,count,3,0.710594315245478,0.5992936051581362,0.8160953896727173,0.542496330236318,0.18650024230229176,0.5822478412304546,0.6511627906976745,0.8282828282828283,0.48249538849439644,0.6744186046511628,0.8181818181818182
risk_clinical_history,presence,3,0.7446558609349306,0.6432177033492823,0.8380298539974225,0.5998337366847385,0.17204093112587227,0.5179027879410641,0.7441860465116279,0.8080808080808081,0.7197883869304457,0.7441860465116279,0.8282828282828283
risk_clinical_history,count,3,0.7831806436457598,0.6845097708894878,0.8720989868881631,0.655548587108944,0.17481311418900988,0.5408640646415814,0.7209302325581395,0.7878787878787878,0.5557130408776774,0.6744186046511628,0.8686868686868687
protective_absent,presence,1,0.42212825933756165,0.3196223592148391,0.5330531609195401,0.2927939432997134,0.2542178317258127,0.7025934411636826,0.9534883720930233,0.0707070707070707,0.5079777667519559,0.23255813953488372,0.8383838383838383
protective_absent,count,1,0.3695090439276486,0.27393461280429365,0.47113433706816055,0.23285843814605378,0.2528840834523679,0.6989327545835736,0.4418604651162791,0.37373737373737376,inf,0.0,1.0
all_ten_domains,presence,10,0.7904627672069532,0.6974583665735938,0.8705704391296688,0.6672498804144463,0.17186087551546075,0.5260722478947537,0.6744186046511628,0.7272727272727273,0.6206736700790938,0.6744186046511628,0.8888888888888888
all_ten_domains,count,10,0.7937514681700729,0.7066802647783251,0.8740262605042016,0.6567825270482577,0.1755381675479536,0.5411064664259225,0.6744186046511628,0.8080808080808081,0.49141834697752246,0.6976744186046512,0.8080808080808081
